,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speeds
78,sadiqabad,1337619,0,PK,1592239738,9,28.31,70.13,107.11,11.14
79,lufilufi,1337619,84,WS,1592239739,79,-13.87,-171.6,81.14,22.03
80,port alfred,1337619,65,ZA,1592239739,91,-33.59,26.89,59.00,3.00
81,mudgee,1337619,75,AU,1592239739,93,-32.59,149.59,37.40,2.24
82,vila franca do campo,1337619,40,PT,1592239740,72,37.72,-25.43,64.40,11.41
83,narsaq,1337619,75,GL,1592239740,52,60.92,-46.05,44.60,8.05
84,tura,1337619,100,IN,1592239502,96,25.52,90.22,76.23,5.19
85,ribeira grande,1337619,40,PT,1592239740,68,38.52,-28.7,68.00,16.11
86,marzuq,1337619,95,YE,1592239741,19,14.4,46.47,90.10,2.24
87,zhigansk,1337619,89,RU,1592239592,53,66.77,123.37,57.88,22.35
88,hermanus,1337619,60,ZA,1592239602,85,-34.42,19.23,55.99,13.27
89,bluff,1337619,23,NZ,1592239741,89,-46.6,168.33,49.55,9.42
90,severo-kurilsk,1337619,100,RU,1592239639,92,50.68,156.12,40.91,14.32
91,sitka,1337619,75,US,1592239742,87,57.05,-135.33,50.00,4.70
92,kudahuvadhoo,1337619,96,MV,1592239742,78,2.67,72.89,84.11,15.50
93,wanaka,1337619,41,NZ,1592239742,78,-44.7,169.15,45.91,4.27
94,puerto ayora,1337619,40,EC,1592239581,73,-0.74,-90.35,77.00,14.99
95,buta,1337619,96,CD,1592239743,85,2.79,24.73,75.16,2.48
96,mananjary,1337619,27,MG,1592239743,92,-21.22,48.33,64.09,6.80
97,matay,1337619,0,EG,1592239744,20,28.42,30.78,88.21,10.69
98,port hardy,1337619,90,CA,1592239634,87,50.7,-127.42,51.80,11.41
99,comodoro rivadavia,1337619,100,AR,1592239744,81,-45.87,-67.5,48.20,4.56
100,juneau,1337619,90,US,1592239515,87,58.3,-134.42,55.00,4.70
101,grindavik,1337619,40,IS,1592239745,66,63.84,-22.43,50.00,17.22
102,harwich,1337619,1,GB,1592239706,72,51.94,1.28,73.00,5.99
103,cidreira,1337619,22,BR,1592239745,77,-30.18,-50.21,61.29,15.43
104,ixtapa,1337619,5,MX,1592239746,69,20.7,-105.2,84.00,5.82
105,bandarbeyla,1337619,51,SO,1592239746,56,9.49,50.81,85.55,21.18
106,ravar,1337619,0,IR,1592239746,10,31.27,56.81,91.00,8.68
107,lichinga,1337619,75,MZ,1592239746,63,-13.31,35.24,62.60,6.93
108,altay,1337619,24,CN,1592239746,57,47.87,88.12,61.18,3.62
109,constitucion,1337619,100,CL,1592239747,83,-35.33,-72.42,55.26,23.85
110,jining,1337619,100,CN,1592239747,53,35.41,116.58,81.43,11.56
111,thompson,1337619,40,CA,1592239747,53,55.74,-97.86,71.60,4.70
112,carnarvon,1337619,0,AU,1592239748,26,-24.87,113.63,67.21,17.31
113,camargo,1337619,1,MX,1592239748,20,27.67,-105.17,83.88,7.63
114,mount isa,1337619,0,AU,1592239612,34,-20.73,139.5,62.60,14.99
115,muros,1337619,100,ES,1592239748,68,42.78,-9.06,64.99,13.00
116,leningradskiy,1337619,0,RU,1592239749,86,69.38,178.42,42.58,2.06
117,saint george,1337619,1,US,1592239463,17,37.1,-113.58,82.00,4.70
118,bougouni,1337619,11,ML,1592239749,25,11.42,-7.48,101.17,8.61
119,kaitangata,1337619,0,NZ,1592239655,76,-46.28,169.85,45.00,4.00
120,benghazi,1337619,0,LY,1592239750,64,32.12,20.07,76.48,22.64
121,kapaa,1337619,20,US,1592239750,83,22.08,-159.32,75.20,13.87
122,mayo,1337619,1,US,1592239532,56,38.89,-76.51,75.00,11.41
123,iskilip,1337619,87,TR,1592239750,87,40.74,34.47,58.03,2.15
124,san patricio,1337619,5,MX,1592239751,66,19.22,-104.7,87.80,5.82
125,cherskiy,1337619,100,RU,1592239751,49,68.75,161.3,65.17,3.78
126,sredniy ikorets,1337619,73,RU,1592239752,83,51.07,39.76,67.91,8.03
127,oktyabrskiy,1337619,60,RU,1592239752,83,54.48,53.47,57.85,3.85
128,karachi,1337619,40,PK,1592239555,70,24.91,67.08,87.80,13.87
129,tres arroyos,1337619,71,AR,1592239752,36,-38.37,-60.28,57.04,12.30
130,mahebourg,1337619,75,MU,1592239753,68,-20.41,57.7,71.60,13.87
131,esperance,1337619,90,AU,1592239753,93,-33.87,121.9,48.20,8.05
132,port hedland,1337619,7,AU,1592239753,45,-20.32,118.57,64.40,8.05
133,chokurdakh,1337619,16,RU,1592239753,53,70.63,147.92,65.55,3.69
134,xifeng,1337619,0,CN,1592239753,80,42.74,124.72,56.64,3.78
135,san-pedro,1337619,100,CI,1592239754,87,4.75,-6.64,79.43,7.40
136,byron bay,1337619,75,AU,1592239623,93,-28.65,153.62,57.20,1.12
137,marsa matruh,1337619,0,EG,1592239754,65,31.35,27.25,77.00,6.93
138,phek,1337619,100,IN,1592239755,100,25.67,94.5,64.09,1.90
139,margate,1337619,0,GB,1592239704,57,51.38,1.39,73.00,4.00
140,rawson,1337619,100,AR,1592239755,48,-43.3,-65.1,54.59,19.71
141,zavetnoye,1337619,96,RU,1592239755,30,47.12,43.89,78.93,15.01
142,clyde river,1337619,40,CA,1592239756,93,70.47,-68.59,32.00,24.16
143,roald,1337619,0,NO,1592239756,82,62.58,6.13,64.00,6.93
144,kargasok,1337619,20,RU,1592239756,80,59.06,80.86,42.33,7.25
145,kaseda,1337619,90,JP,1592239756,83,31.42,130.32,75.20,13.87
146,ponta do sol,1337619,40,PT,1592239756,83,32.67,-17.1,71.60,11.41
147,bethel,1337619,19,US,1592239757,47,41.37,-73.41,73.00,1.99
148,kieta,1337619,97,PG,1592239757,77,-6.22,155.63,79.68,1.70
149,moose factory,1337619,40,CA,1592239757,37,51.26,-80.61,69.80,12.75
150,tuktoyaktuk,1337619,75,CA,1592239757,51,69.45,-133.04,59.00,9.17
151,quesnel,1337619,75,CA,1592239493,58,53.0,-122.5,55.40,5.82
152,flinders,1337619,0,AU,1592239758,66,-34.58,150.86,61.00,11.01
153,egvekinot,1337619,11,RU,1592239758,79,66.32,-179.17,44.98,1.45
154,necochea,1337619,83,AR,1592239747,52,-38.55,-58.74,55.99,11.01
155,tommot,1337619,0,RU,1592239759,86,58.96,126.29,46.58,1.95
156,yarmouth,1337619,90,US,1592239759,72,41.71,-70.23,64.40,14.99
157,pemangkat,1337619,87,ID,1592239759,87,1.17,108.97,79.23,5.53
158,badiraguato,1337619,7,MX,1592239564,33,25.37,-107.52,91.00,5.01
159,tiksi,1337619,100,RU,1592239760,60,71.69,128.87,52.07,11.39
160,camacha,1337619,40,PT,1592239760,78,33.08,-16.33,71.60,10.29
161,puerto carreno,1337619,75,CO,1592239760,69,6.19,-67.49,80.60,3.36
